algorithm,n,seed,comparison_count,degree_gini,degree_p80_fraction,degree_normalized_entropy,maximum_degree_share,strength_gini,strength_p80_fraction,strength_normalized_entropy,maximum_strength_share,progress_fraction
quick-dual-pivot,128,69,32,0.917724609375,0.09375,0.49668109754183987,0.265625,0.917724609375,0.09375,0.49668109754183987,0.265625,0.037296037296037296
quick-dual-pivot,128,69,64,0.8553466796875,0.1640625,0.5686774487289856,0.2578125,0.8553466796875,0.1640625,0.5686774487289856,0.2578125,0.07459207459207459
quick-dual-pivot,128,69,128,0.72979736328125,0.3125,0.6431618817818929,0.25390625,0.72979736328125,0.3125,0.6431618817818929,0.25390625,0.14918414918414918
quick-dual-pivot,128,69,256,0.52618408203125,0.5625,0.7265682339614015,0.23828125,0.52618408203125,0.5625,0.7265682339614015,0.23828125,0.29836829836829837
quick-dual-pivot,128,69,512,0.5300445556640625,0.5078125,0.8364784854409284,0.119140625,0.5300445556640625,0.5078125,0.8364784854409284,0.119140625,0.5967365967365967
quick-dual-pivot,128,69,858,0.38020833333333326,0.6171875,0.9232166743243195,0.07109557109557109,0.38020833333333326,0.6171875,0.9232166743243195,0.07109557109557109,1.0
quick-dual-pivot,128,70,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0010683760683760685
quick-dual-pivot,128,70,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.002136752136752137
quick-dual-pivot,128,70,4,0.974609375,0.0234375,0.2722341517470809,0.375,0.974609375,0.0234375,0.2722341517470809,0.375,0.004273504273504274
quick-dual-pivot,128,70,8,0.9619140625,0.0390625,0.36025460308568547,0.4375,0.9619140625,0.0390625,0.36025460308568547,0.4375,0.008547008547008548
quick-dual-pivot,128,70,16,0.94189453125,0.0625,0.43702805207216877,0.40625,0.94189453125,0.0625,0.43702805207216877,0.40625,0.017094017094017096
quick-dual-pivot,128,70,32,0.9091796875,0.09375,0.5130329388057348,0.34375,0.9091796875,0.09375,0.5130329388057348,0.34375,0.03418803418803419
quick-dual-pivot,128,70,64,0.8402099609375,0.1640625,0.588903884813286,0.3046875,0.8402099609375,0.1640625,0.588903884813286,0.3046875,0.06837606837606838
quick-dual-pivot,128,70,128,0.695068359375,0.3125,0.6617812205087894,0.328125,0.695068359375,0.3125,0.6617812205087894,0.328125,0.13675213675213677
quick-dual-pivot,128,70,256,0.562255859375,0.5078125,0.7505013817751324,0.232421875,0.562255859375,0.5078125,0.7505013817751324,0.232421875,0.27350427350427353
quick-dual-pivot,128,70,512,0.5842742919921875,0.4375,0.8210125265186713,0.1162109375,0.5842742919921875,0.4375,0.8210125265186713,0.1162109375,0.5470085470085471
quick-dual-pivot,128,70,936,0.3994975293803418,0.5859375,0.9295008205534231,0.06356837606837606,0.3994975293803418,0.5859375,0.9295008205534231,0.06356837606837606,1.0
quick-dual-pivot,128,71,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0010319917440660474
quick-dual-pivot,128,71,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.0020639834881320948
quick-dual-pivot,128,71,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.0041279669762641896
quick-dual-pivot,128,71,8,0.9658203125,0.03125,0.3427710671925285,0.3125,0.9658203125,0.03125,0.3427710671925285,0.3125,0.008255933952528379
quick-dual-pivot,128,71,16,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.016511867905056758
quick-dual-pivot,128,71,32,0.918212890625,0.09375,0.4922168118275542,0.265625,0.918212890625,0.09375,0.4922168118275542,0.265625,0.033023735810113516
quick-dual-pivot,128,71,64,0.8531494140625,0.1640625,0.5753738773004141,0.2578125,0.8531494140625,0.1640625,0.5753738773004141,0.2578125,0.06604747162022703
